    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
     0.645540     0.061054    -2.043164    -3.175293     0.020000
    58.317154    28.810120    -2.043164    -1.250488     0.020000
    67.584648    30.683391    -3.730273    -1.675293     0.020000
    67.044564    30.592416    -3.443164    -1.675293     0.020000
    63.759492    29.787814    -3.730273    -2.750488     0.020000
    63.759492    29.787814    -3.730273    -2.750488     0.020000
    67.044564    30.592416    -3.443164    -1.675293     0.020000
    60.009845    28.879013    -3.443164    -2.750488     0.020000
    58.602266    28.375371    -3.380273    -2.800293     0.020000
    67.352388    30.589772    -4.493164    -2.800293     0.020000
    43.067931    25.304640    -3.380273    -3.125488     0.020000
    43.067931    25.304640    -3.380273    -3.125488     0.020000
    67.352388    30.589772    -4.493164    -2.800293     0.020000
    65.386014    30.335792    -4.493164    -3.125488     0.020000
    55.846015    28.281127    -1.980273    -1.300293     0.020000
    67.080065    30.585608    -3.093164    -1.300293     0.020000
    46.159432    26.012299    -1.980273    -1.625488     0.020000
    46.159432    26.012299    -1.980273    -1.625488     0.020000
    67.080065    30.585608    -3.093164    -1.300293     0.020000
    65.938785    30.401847    -3.093164    -1.625488     0.020000
     4.187033     1.234343    -2.680273    -3.550293     0.020000
    51.341947    25.460712    -3.793164    -3.550293     0.020000
     1.245864     0.021265    -2.680273    -3.875488     0.020000
     1.245864     0.021265    -2.680273    -3.875488     0.020000
    51.341947    25.460712    -3.793164    -3.550293     0.020000
    49.917620    22.426673    -3.793164    -3.875488     0.020000
    67.547574    30.681681    -4.080273    -2.050293     0.020000
    45.976988    26.126110    -2.393164    -2.050293     0.020000
    66.924353    30.576656    -4.080273    -2.375488     0.020000
    66.924353    30.576656    -4.080273    -2.375488     0.020000
    45.976988    26.126110    -2.393164    -2.050293     0.020000
    32.882859    21.675891    -2.393164    -2.375488     0.020000
    64.896828    29.754667    -3.905273    -2.987793     0.020000
    62.006298    28.822235    -3.618164    -2.987793     0.020000
    67.937620    30.741001    -3.905273    -1.437988     0.020000
    67.937620    30.741001    -3.905273    -1.437988     0.020000
    62.006298    28.822235    -3.618164    -2.987793     0.020000
    67.721917    30.703921    -3.618164    -1.437988     0.020000
    62.110260    29.685213    -2.505273    -1.487793     0.020000
    57.160655    28.671012    -2.218164    -1.487793     0.020000
    22.036124    13.132966    -2.505273    -2.937988     0.020000
    22.036124    13.132966    -2.505273    -2.937988     0.020000
    57.160655    28.671012    -2.218164    -1.487793     0.020000
     6.545271     4.116160    -2.218164    -2.937988     0.020000
     0.280201     0.001289    -1.805273    -3.737793     0.020000
    62.189806    28.437412    -4.318164    -3.737793     0.020000
    12.368918    10.820944    -1.805273    -2.187988     0.020000
    12.368918    10.820944    -1.805273    -2.187988     0.020000
    62.189806    28.437412    -4.318164    -3.737793     0.020000
    67.678555    30.702804    -4.318164    -2.187988     0.020000
    61.618133    29.660615    -3.205273    -2.237793     0.020000
    56.377364    28.627007    -2.918164    -2.237793     0.020000
    23.368705    11.456758    -3.205273    -3.687988     0.020000
    23.368705    11.456758    -3.205273    -3.687988     0.020000
    56.377364    28.627007    -2.918164    -2.237793     0.020000
     9.148495     3.483297    -2.918164    -3.687988     0.020000
    44.602032    24.656388    -3.555273    -3.362793     0.020000
     0.333970     0.005483    -1.868164    -3.362793     0.020000
    45.330639    25.233117    -3.555273    -3.312988     0.020000
    45.330639    25.233117    -3.555273    -3.312988     0.020000
     0.333970     0.005483    -1.868164    -3.362793     0.020000
     0.307729     0.004503    -1.868164    -3.312988     0.020000
    45.018901    25.571928    -2.155273    -1.862793     0.020000
    65.783162    30.362991    -3.268164    -1.862793     0.020000
    46.511793    26.059638    -2.155273    -1.812988     0.020000
    46.511793    26.059638    -2.155273    -1.812988     0.020000
    65.783162    30.362991    -3.268164    -1.862793     0.020000
    65.980555    30.404243    -3.268164    -1.812988     0.020000
    45.590056    25.401222    -2.855273    -2.612793     0.020000
    32.990104    20.952566    -2.568164    -2.612793     0.020000
    46.681359    25.889777    -2.855273    -2.562988     0.020000
    46.681359    25.889777    -2.855273    -2.562988     0.020000
    32.990104    20.952566    -2.568164    -2.612793     0.020000
    34.454876    21.774504    -2.568164    -2.562988     0.020000
    68.119193    30.771137    -4.255273    -1.112793     0.020000
    68.072516    30.762280    -3.968164    -1.112793     0.020000
    68.124378    30.771932    -4.255273    -1.062988     0.020000
    68.124378    30.771932    -4.255273    -1.062988     0.020000
    68.072516    30.762280    -3.968164    -1.112793     0.020000
    68.082548    30.763818    -3.968164    -1.062988     0.020000
    66.864764    30.553178    -4.167773    -2.519043     0.020000
    14.285288    11.613851    -2.130664    -2.519043     0.020000
    59.660685    26.608249    -4.167773    -3.969238     0.020000
    59.660685    26.608249    -4.167773    -3.969238     0.020000
    14.285288    11.613851    -2.130664    -2.519043     0.020000
     0.391924     0.001292    -2.130664    -3.969238     0.020000
    66.936850    30.533946    -2.767773    -1.019043     0.020000
    67.954133    30.737984    -3.530664    -1.019043     0.020000
    45.806317    25.859227    -2.767773    -2.469238     0.020000
    45.806317    25.859227    -2.767773    -2.469238     0.020000
    67.954133    30.737984    -3.530664    -1.019043     0.020000
    63.187587    29.898599    -3.530664    -2.469238     0.020000
