    K_d          mu_d     log10_Kp_crack  log10_asp_crack    Kp
    66.977977    19.415622    -3.581104    -3.898926     0.020000
    67.866375    25.005920    -3.942725    -3.925293     0.020000
    44.193903     0.007271    -2.556885    -3.925293     0.020000
    68.334750    30.693369    -3.942725    -2.000488     0.020000
    68.334750    30.693369    -3.942725    -2.000488     0.020000
    44.193903     0.007271    -2.556885    -3.925293     0.020000
    64.650546    28.726792    -2.556885    -2.000488     0.020000
    65.791838    27.902368    -2.792725    -2.425293     0.020000
    68.159892    30.411346    -3.706885    -2.425293     0.020000
    62.040547     8.705903    -2.792725    -3.500488     0.020000
    62.040547     8.705903    -2.792725    -3.500488     0.020000
    68.159892    30.411346    -3.706885    -2.425293     0.020000
    67.829430    26.250189    -3.706885    -3.500488     0.020000
    53.273574     4.263578    -2.217725    -3.175293     0.020000
    39.413388     0.061028    -1.981885    -3.175293     0.020000
    64.252770    29.622514    -2.217725    -1.250488     0.020000
    64.252770    29.622514    -2.217725    -1.250488     0.020000
    39.413388     0.061028    -1.981885    -3.175293     0.020000
    61.459634    28.806085    -1.981885    -1.250488     0.020000
    68.001035    30.604960    -3.367725    -1.675293     0.020000
    67.643635    30.478537    -3.131885    -1.675293     0.020000
    67.676112    29.082601    -3.367725    -2.750488     0.020000
    67.676112    29.082601    -3.367725    -2.750488     0.020000
    67.643635    30.478537    -3.131885    -1.675293     0.020000
    67.089689    27.928359    -3.131885    -2.750488     0.020000
    66.883670    27.215641    -3.080225    -2.800293     0.020000
    68.302450    30.317292    -3.994385    -2.800293     0.020000
    66.585383    24.366493    -3.080225    -3.125488     0.020000
    66.585383    24.366493    -3.080225    -3.125488     0.020000
    68.302450    30.317292    -3.994385    -2.800293     0.020000
    68.266567    29.893085    -3.994385    -3.125488     0.020000
    60.198898    28.379658    -1.930225    -1.300293     0.020000
    67.385745    30.480725    -2.844385    -1.300293     0.020000
    57.354188    26.670044    -1.930225    -1.625488     0.020000
    57.354188    26.670044    -1.930225    -1.625488     0.020000
    67.385745    30.480725    -2.844385    -1.300293     0.020000
    66.921991    30.248870    -2.844385    -1.625488     0.020000
    45.368668     0.212664    -2.505225    -3.550293     0.020000
    67.074921    21.776057    -3.419385    -3.550293     0.020000
    43.966860     0.009250    -2.505225    -3.875488     0.020000
    43.966860     0.009250    -2.505225    -3.875488     0.020000
    67.074921    21.776057    -3.419385    -3.550293     0.020000
    66.228961    16.085643    -3.419385    -3.875488     0.020000
    68.169268    30.593389    -3.655225    -2.050293     0.020000
    61.268027    26.568897    -2.269385    -2.050293     0.020000
    68.122970    30.408754    -3.655225    -2.375488     0.020000
    68.122970    30.408754    -3.655225    -2.375488     0.020000
    61.268027    26.568897    -2.269385    -2.050293     0.020000
    60.362490    23.078363    -2.269385    -2.375488     0.020000
    67.847919    28.719541    -3.511475    -2.987793     0.020000
    67.378079    27.332640    -3.275635    -2.987793     0.020000
    68.215638    30.698923    -3.511475    -1.437988     0.020000
    68.215638    30.698923    -3.511475    -1.437988     0.020000
    67.378079    27.332640    -3.275635    -2.987793     0.020000
    68.009814    30.639753    -3.275635    -1.437988     0.020000
    64.443743    29.534346    -2.361475    -1.487793     0.020000
    61.789096    28.663280    -2.125635    -1.487793     0.020000
    59.869256    13.107088    -2.361475    -2.937988     0.020000
    59.869256    13.107088    -2.361475    -2.937988     0.020000
    61.789096    28.663280    -2.125635    -1.487793     0.020000
    53.791521     6.732576    -2.125635    -2.937988     0.020000
    35.821016     0.000227    -1.786475    -3.737793     0.020000
    67.843734    25.282785    -3.850635    -3.737793     0.020000
    49.558149    17.244009    -1.786475    -2.187988     0.020000
    49.558149    17.244009    -1.786475    -2.187988     0.020000
    67.843734    25.282785    -3.850635    -3.737793     0.020000
    68.276162    30.622053    -3.850635    -2.187988     0.020000
    66.653993    29.367061    -2.936475    -2.237793     0.020000
    65.386246    28.395497    -2.700635    -2.237793     0.020000
    61.723884     7.009839    -2.936475    -3.687988     0.020000
    61.723884     7.009839    -2.936475    -3.687988     0.020000
